Date,Hour,Occupation,Energy consumption [kwh],Week_day,Month
2018-01-13,11,0.0,188.41999999980908,Saturday,January
2018-01-13,12,0.0,183.36000000018976,Saturday,January
2018-01-13,13,0.0,182.4299999998184,Saturday,January
2018-01-13,14,0.0,179.8200000001816,Saturday,January
2018-01-13,15,0.0,181.17999999999302,Saturday,January
2018-01-13,16,0.0,185.7600000000093,Saturday,January
2018-01-13,17,0.0,195.14999999999418,Saturday,January
2018-01-13,18,0.0,194.1600000000035,Saturday,January
2018-01-13,19,0.0,186.9299999998184,Saturday,January
2018-01-13,20,0.0,183.9000000001688,Saturday,January
2018-01-13,21,0.0,185.1700000000128,Saturday,January
2018-01-13,22,0.0,181.72000000000116,Saturday,January
2018-01-13,23,0.0,182.6699999999837,Saturday,January
2018-01-14,0,0.0,180.69000000000233,Sunday,January
2018-01-14,1,0.0,182.14000000001397,Sunday,January
2018-01-14,2,0.0,183.9000000001979,Sunday,January
2018-01-14,3,0.0,180.45999999978812,Sunday,January
2018-01-14,4,0.0,177.68000000002212,Sunday,January
2018-01-14,5,0.0,180.19000000000233,Sunday,January
2018-01-14,6,0.0,180.48999999978696,Sunday,January
2018-01-14,7,0.0,179.3900000001886,Sunday,January
2018-01-14,8,0.0,179.70000000001164,Sunday,January
2018-01-14,9,0.0,174.64000000001397,Sunday,January
2018-01-14,10,0.0,174.12999999997555,Sunday,January
2018-01-14,11,0.0,179.15000000002328,Sunday,January
2018-01-14,12,0.0,177.1599999999744,Sunday,January
2018-01-14,13,0.0,178.41999999983818,Sunday,January
2018-01-14,14,0.0,180.12999999997555,Sunday,January
2018-01-14,15,0.0,181.10000000038417,Sunday,January
2018-01-14,16,0.0,178.37999999980093,Sunday,January
2018-01-14,17,0.0,177.1099999998405,Sunday,January
2018-01-14,18,0.0,182.59000000034575,Sunday,January
2018-01-14,19,0.0,183.91999999983818,Sunday,January
2018-01-14,20,0.0,295.59000000017113,Sunday,January
2018-01-14,21,0.0,290.1799999998184,Sunday,January
2018-01-14,22,0.0,293.38000000000466,Sunday,January
2018-01-14,23,0.0,291.1699999998091,Sunday,January
2018-01-15,0,0.0,293.09000000020023,Monday,January
2018-01-15,1,0.0,291.21999999979744,Monday,January
2018-01-15,2,0.0,289.1400000001886,Monday,January
2018-01-15,3,0.0,294.6400000001886,Monday,January
2018-01-15,4,0.0,296.7600000000093,Monday,January
2018-01-15,5,0.0,318.89999999979045,Monday,January
2018-01-15,6,0.0,337.96999999982654,Monday,January
2018-01-15,7,0.0,348.630000000383,Monday,January
2018-01-15,8,0.0,393.1900000000023,Monday,January
2018-01-15,9,0.0,442.94999999998254,Monday,January
2018-01-15,10,0.0,514.8499999998312,Monday,January
2018-01-15,11,0.0,500.79999999981374,Monday,January
